pid,ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod_add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,saleprice,property_age,remodel_age,porch_sf
533352170,60,RL,0.0,13517,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,2Story,6,8,1976,2005,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,4,3,CBlock,3,3,No,GLQ,533.0,Unf,0.0,192.0,725.0,GasA,5,1,SBrkr,754,0,1479,0.0,0.0,2,1,3,1,4,6,Typ,0,0,Attchd,RFn,2.0,475.0,3,3,1.0,0,0,0,0,None,None,0,3,2010,WD ,130500,34,5,1
531379050,60,RL,43.0,11492,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,4,3,PConc,4,3,No,GLQ,637.0,Unf,0.0,276.0,913.0,GasA,5,1,SBrkr,1209,0,2122,1.0,0.0,2,1,4,1,4,8,Typ,1,3,Attchd,RFn,2.0,559.0,3,3,1.0,0,0,0,0,None,None,0,4,2009,WD ,220000,13,12,1
535304180,20,RL,68.0,7922,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,No,GLQ,731.0,Unf,0.0,326.0,1057.0,GasA,3,1,SBrkr,0,0,1057,1.0,0.0,1,0,3,1,4,5,Typ,0,0,Detchd,Unf,1.0,246.0,3,3,1.0,0,0,0,0,None,None,0,1,2010,WD ,109000,57,3,1
916386060,60,RL,73.0,9802,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,5,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,No,Unf,0.0,Unf,0.0,384.0,384.0,GasA,4,1,SBrkr,700,0,1444,0.0,0.0,2,1,3,1,3,7,Typ,0,0,BuiltIn,Fin,2.0,400.0,3,3,1.0,100,0,0,0,None,None,0,4,2010,WD ,174000,4,3,0
906425045,50,RL,82.0,14235,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,CompShg,Wd Sdng,Plywood,None,0.0,3,3,PConc,2,4,No,Unf,0.0,Unf,0.0,676.0,676.0,GasA,3,1,SBrkr,614,0,1445,0.0,0.0,2,0,3,1,3,6,Typ,0,0,Detchd,Unf,2.0,484.0,3,3,0.0,0,0,0,0,None,None,0,3,2010,WD ,138500,110,17,1
535126040,20,RL,137.0,16492,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,0.0,4,3,CBlock,3,3,No,ALQ,247.0,Rec,713.0,557.0,1517.0,GasA,5,1,SBrkr,0,0,1888,0.0,0.0,2,1,2,1,4,6,Mod,1,4,Attchd,Fin,2.0,578.0,3,3,1.0,0,0,0,0,None,None,0,6,2010,WD ,190000,44,8,0
908186070,180,RM,35.0,3675,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,3,3,PConc,4,3,Gd,GLQ,547.0,Unf,0.0,0.0,547.0,GasA,4,1,SBrkr,0,0,1072,1.0,0.0,2,0,2,1,3,5,Typ,0,0,Basment,Fin,2.0,525.0,3,3,1.0,0,0,0,0,None,None,0,6,2006,New,140000,1,0,1
535154050,20,RL,0.0,12160,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,3,3,CBlock,3,3,No,Rec,1000.0,Unf,0.0,188.0,1188.0,GasA,2,1,SBrkr,0,0,1188,1.0,0.0,1,0,3,1,3,6,Typ,0,0,Attchd,RFn,2.0,531.0,3,3,1.0,0,0,0,0,MnPrv,None,0,5,2010,COD,142000,51,51,0
535353130,20,RL,0.0,15783,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,5,1952,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,No,Rec,292.0,Unf,0.0,632.0,924.0,GasA,3,1,SBrkr,0,0,924,0.0,0.0,1,0,2,1,3,6,Typ,0,0,Detchd,Unf,1.0,420.0,3,3,1.0,0,0,0,0,MnPrv,Shed,400,6,2007,WD ,112500,55,55,1
535426130,60,RL,70.0,11606,Pave,None,IR1,HLS,AllPub,Inside,Sev,NAmes,Norm,Norm,1Fam,2Story,5,5,1969,1969,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,3,3,PConc,4,3,Av,Rec,650.0,Unf,0.0,390.0,1040.0,GasA,3,1,SBrkr,1040,0,2080,0.0,1.0,1,2,5,1,2,9,Typ,2,3,Attchd,Unf,2.0,504.0,3,3,1.0,335,0,0,0,None,None,0,9,2007,WD ,135000,38,38,0
527451290,160,RM,21.0,1680,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,3,3,CBlock,3,3,No,ALQ,387.0,Unf,0.0,96.0,483.0,GasA,3,1,SBrkr,504,0,987,0.0,0.0,1,1,2,1,3,4,Typ,0,0,Detchd,Unf,1.0,264.0,3,3,1.0,0,0,0,0,None,None,0,7,2008,COD,85400,37,37,0
906380150,20,RL,64.0,7488,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,Av,GLQ,393.0,Unf,0.0,815.0,1208.0,GasA,5,1,SBrkr,0,0,1208,0.0,0.0,2,0,2,1,4,6,Typ,0,0,Attchd,RFn,2.0,632.0,3,3,1.0,105,0,0,0,None,None,0,2,2006,WD ,183600,1,1,1
906226060,70,RL,120.0,26400,Pave,None,Reg,Bnk,AllPub,FR2,Gtl,SawyerW,Feedr,Norm,1Fam,2Story,5,7,1880,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,PConc,0,0,None,None,0.0,None,0.0,0.0,0.0,GasA,5,1,SBrkr,728,0,2016,0.0,0.0,1,0,4,1,3,7,Mod,1,3,Attchd,Unf,2.0,576.0,3,3,0.5,0,0,0,0,None,None,0,6,2009,WD ,131000,129,2,0
533236070,160,FV,24.0,2645,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,4,3,PConc,4,3,No,GLQ,813.0,Unf,0.0,147.0,960.0,GasA,5,1,SBrkr,645,0,1607,1.0,0.0,2,1,3,1,4,7,Typ,0,0,Detchd,Unf,2.0,480.0,3,3,1.0,169,0,0,0,None,None,0,12,2008,ConLD,200000,9,8,0
907418040,20,RL,74.0,9627,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,Av,GLQ,24.0,Unf,0.0,1327.0,1351.0,GasA,5,1,SBrkr,0,0,1361,0.0,0.0,2,0,3,1,4,6,Typ,0,0,Attchd,RFn,2.0,610.0,3,3,1.0,0,0,0,0,None,None,0,6,2008,WD ,193000,1,1,1
923202105,20,RL,93.0,10114,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,5,3,Av,Unf,0.0,Unf,0.0,1430.0,1430.0,GasA,5,1,SBrkr,0,0,1430,0.0,0.0,2,0,3,1,4,7,Typ,0,0,Attchd,RFn,2.0,624.0,3,3,1.0,0,0,0,0,None,None,0,3,2010,WD ,173500,6,5,0
902301140,70,RM,34.0,4571,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,3,BrkTil,3,3,No,Unf,0.0,Unf,0.0,624.0,624.0,GasA,2,0,SBrkr,720,0,1344,0.0,0.0,1,0,4,1,3,7,Typ,0,0,Detchd,Unf,3.0,513.0,2,2,1.0,0,0,0,0,None,None,0,5,2008,COD,98000,92,58,1
905101490,20,RL,80.0,8816,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,3,3,No,Rec,651.0,Unf,0.0,470.0,1121.0,GasA,3,1,SBrkr,0,0,1121,1.0,0.0,1,0,3,1,3,5,Typ,0,0,Detchd,Unf,2.0,480.0,3,3,1.0,0,0,0,0,MnPrv,None,0,6,2009,WD ,139000,46,46,1
905107140,20,RL,71.0,8197,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,3,3,CBlock,3,3,No,Unf,0.0,Unf,0.0,660.0,660.0,GasA,5,1,SBrkr,0,0,1285,0.0,0.0,1,1,3,1,3,7,Typ,1,3,Attchd,RFn,2.0,528.0,3,3,1.0,138,0,0,0,MnPrv,None,0,4,2007,WD ,143500,30,30,0
528458070,60,FV,72.0,8640,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,Mn,GLQ,24.0,Unf,0.0,732.0,756.0,GasA,5,1,SBrkr,783,0,1547,0.0,0.0,2,1,3,1,4,7,Typ,0,0,Attchd,Unf,2.0,614.0,3,3,1.0,169,0,0,0,None,None,0,6,2010,Con,215200,1,1,1
905106150,20,RL,109.0,8724,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,4,3,No,BLQ,492.0,Unf,0.0,402.0,894.0,GasA,4,1,SBrkr,0,0,894,0.0,0.0,1,0,3,1,3,5,Typ,1,1,Attchd,Fin,2.0,450.0,3,3,1.0,0,0,0,0,None,None,0,5,2007,WD ,129000,39,39,0
527131030,120,RL,40.0,5664,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,4,3,PConc,4,3,No,GLQ,1158.0,Unf,0.0,343.0,1501.0,GasA,5,1,SBrkr,0,0,1659,1.0,0.0,2,0,2,1,5,5,Typ,1,5,Attchd,Fin,2.0,499.0,3,3,1.0,212,0,0,0,None,None,0,10,2009,WD ,278000,9,9,1
528142010,60,RL,103.0,12867,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,CemntBd,CmentBd,None,0.0,4,3,PConc,5,3,Av,Unf,0.0,Unf,0.0,1209.0,1209.0,GasA,5,1,SBrkr,1044,0,2253,0.0,0.0,2,1,3,1,5,8,Typ,1,4,Attchd,Fin,2.0,575.0,3,3,1.0,243,0,0,0,None,None,0,7,2006,New,344133,1,0,1
527165230,20,RL,0.0,7980,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,PConc,4,3,No,ALQ,935.0,Unf,0.0,233.0,1168.0,GasA,5,1,SBrkr,0,0,1187,1.0,0.0,2,0,3,1,3,6,Typ,0,0,Attchd,Fin,2.0,420.0,3,3,1.0,483,0,0,0,GdPrv,Shed,500,3,2010,WD ,185000,18,3,1
527250040,190,RL,100.0,34650,Pave,None,Reg,Bnk,AllPub,Inside,Gtl,Gilbert,Norm,Norm,2fmCon,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,Mn,Rec,1056.0,Unf,0.0,0.0,1056.0,GasA,3,0,SBrkr,0,0,1056,1.0,0.0,1,0,3,1,3,5,Typ,0,0,Attchd,Fin,2.0,572.0,3,3,1.0,264,0,0,0,None,None,0,1,2006,WD ,145000,51,51,0
535104120,20,RL,92.0,10573,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1961,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,3,3,CBlock,3,3,No,Rec,1312.0,Unf,0.0,141.0,1453.0,GasA,5,1,SBrkr,0,0,1453,1.0,0.0,2,0,3,1,3,6,Typ,1,3,Attchd,RFn,2.0,530.0,3,3,1.0,0,288,0,0,GdPrv,None,0,4,2009,WD ,187500,48,48,1
532376160,20,RL,65.0,8450,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,8,1965,2009,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,3,3,No,GLQ,553.0,BLQ,117.0,224.0,894.0,GasA,5,1,SBrkr,0,0,894,1.0,0.0,1,0,3,1,3,5,Typ,1,4,Detchd,Unf,1.0,336.0,3,3,1.0,416,0,0,0,MnPrv,None,0,4,2010,WD ,138500,45,1,1
909277040,50,RL,0.0,11700,Pave,Grvl,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,CompShg,WdShing,Wd Shng,None,0.0,3,3,CBlock,3,3,No,BLQ,606.0,Unf,0.0,336.0,942.0,GasA,5,1,SBrkr,673,0,1938,0.0,0.0,2,0,4,1,4,7,Min2,1,4,Detchd,Unf,1.0,240.0,3,3,1.0,0,0,0,0,None,None,0,7,2008,WD ,198000,71,13,1
