station,date,tavg,dewpoint,wetbulb,heat,cool,preciptotal,stnpressure,resultdir,avgspeed,rel_humidity,year,month,weekday,day_name,week,BR,DZ,FG,TSRA,VCTS,HZ,RA,latitude,longitude
1,2007-05-01,67.0,51,56.0,0.0,2.0,0.0,29.1,27,9.2,56.41528290134901,2007,5,1,Tuesday,18,0,0,0,0,0,0,0,41.995,-87.933
2,2007-05-01,68.0,51,57.0,0.0,3.0,0.0,29.18,25,9.6,54.504127864495324,2007,5,1,Tuesday,18,0,0,0,0,0,0,0,41.786,-87.752
1,2007-05-02,51.0,42,47.0,14.0,0.0,0.0,29.38,4,13.4,71.14809634363503,2007,5,2,Wednesday,18,1,0,0,0,0,0,0,41.995,-87.933
2,2007-05-02,52.0,42,47.0,13.0,0.0,0.0,29.44,2,13.4,68.56529462106697,2007,5,2,Wednesday,18,1,0,0,0,0,1,0,41.786,-87.752
1,2007-05-03,56.0,40,48.0,9.0,0.0,0.0,29.39,7,11.9,54.81474901112067,2007,5,3,Thursday,18,0,0,0,0,0,0,0,41.995,-87.933
2,2007-05-03,58.0,40,50.0,7.0,0.0,0.0,29.46,6,13.2,50.998344109921966,2007,5,3,Thursday,18,0,0,0,0,0,1,0,41.786,-87.752
1,2007-05-04,58.0,41,50.0,7.0,0.0,0.005,29.31,8,10.8,53.01957422935416,2007,5,4,Friday,18,0,0,0,0,0,0,1,41.995,-87.933
2,2007-05-04,59.0,42,50.0,6.0,0.0,0.0,29.36,7,10.4,53.170654717456955,2007,5,4,Friday,18,0,0,0,0,0,0,0,41.786,-87.752
1,2007-05-05,60.0,38,49.0,5.0,0.0,0.005,29.4,7,12.0,43.903183462675834,2007,5,5,Saturday,18,0,0,0,0,0,0,0,41.995,-87.933
2,2007-05-05,60.0,39,50.0,5.0,0.0,0.005,29.46,7,11.5,45.65961437589947,2007,5,5,Saturday,18,0,0,0,0,0,0,0,41.786,-87.752
1,2007-05-06,59.0,30,46.0,6.0,0.0,0.0,29.57,11,15.0,33.02324632686739,2007,5,6,Sunday,18,0,0,0,0,0,0,0,41.995,-87.933
2,2007-05-06,60.0,30,46.0,5.0,0.0,0.0,29.62,10,14.5,31.86552010953445,2007,5,6,Sunday,18,0,0,0,0,0,0,0,41.786,-87.752
1,2007-05-07,65.0,41,54.0,0.0,0.0,0.005,29.38,18,10.5,41.389200966901086,2007,5,0,Monday,19,0,0,0,0,0,0,1,41.995,-87.933
2,2007-05-07,67.0,39,53.0,0.0,2.0,0.0,29.44,17,9.9,35.72062414025437,2007,5,0,Monday,19,0,0,0,0,0,0,0,41.786,-87.752
1,2007-05-08,68.0,58,62.0,0.0,3.0,0.0,29.29,11,5.8,70.36448486919954,2007,5,1,Tuesday,19,1,0,0,0,0,0,0,41.995,-87.933
2,2007-05-08,70.0,57,63.0,0.0,5.0,0.005,29.36,8,5.4,63.38344093308822,2007,5,1,Tuesday,19,0,0,0,0,0,1,0,41.786,-87.752
1,2007-05-09,69.0,59,63.0,0.0,4.0,0.13,29.21,9,6.2,70.47219371416509,2007,5,2,Wednesday,19,1,0,0,0,0,1,0,41.995,-87.933
2,2007-05-09,70.0,60,63.0,0.0,5.0,0.02,29.28,7,5.9,70.5793642415788,2007,5,2,Wednesday,19,1,0,0,0,0,1,0,41.786,-87.752
1,2007-05-10,70.0,52,60.0,0.0,5.0,0.0,29.2,17,4.1,52.81370690934799,2007,5,3,Thursday,19,1,0,0,0,0,0,0,41.995,-87.933
2,2007-05-10,71.0,52,61.0,0.0,6.0,0.0,29.26,9,3.9,51.04715191109067,2007,5,3,Thursday,19,1,0,0,0,0,1,0,41.786,-87.752
1,2007-05-11,61.0,42,51.0,4.0,0.0,0.0,29.33,3,12.9,49.51564709001521,2007,5,4,Friday,19,0,0,0,0,0,0,0,41.995,-87.933
2,2007-05-11,61.0,44,51.0,4.0,0.0,0.0,29.39,36,12.8,53.47105353063487,2007,5,4,Friday,19,0,0,0,0,0,0,0,41.786,-87.752
1,2007-05-12,55.0,36,46.0,10.0,0.0,0.0,29.49,3,12.9,48.57008403981632,2007,5,5,Saturday,19,0,0,0,0,0,0,0,41.995,-87.933
2,2007-05-12,56.0,37,46.0,9.0,0.0,0.0,29.54,1,13.0,48.729079318328886,2007,5,5,Saturday,19,0,0,0,0,0,0,0,41.786,-87.752
1,2007-05-13,56.0,33,46.0,9.0,0.0,0.0,29.49,14,8.1,41.545922547000366,2007,5,6,Sunday,19,0,0,0,0,0,0,0,41.995,-87.933
2,2007-05-13,57.0,32,46.0,8.0,0.0,0.0,29.55,11,7.6,38.48623579782189,2007,5,6,Sunday,19,0,0,0,0,0,0,0,41.786,-87.752
1,2007-05-14,73.0,47,59.0,0.0,8.0,0.0,29.23,21,17.3,39.59036508399966,2007,5,0,Monday,20,0,0,0,0,0,0,0,41.995,-87.933
2,2007-05-14,72.0,45,58.0,0.0,7.0,0.0,29.31,21,14.6,37.95899124505967,2007,5,0,Monday,20,0,0,0,0,0,0,0,41.786,-87.752
1,2007-05-15,69.0,56,61.0,0.0,4.0,0.38,29.13,27,12.3,63.25709990108675,2007,5,1,Tuesday,20,1,0,0,0,0,0,1,41.995,-87.933
2,2007-05-15,69.0,56,61.0,0.0,4.0,0.6,29.19,25,10.8,63.25709990108675,2007,5,1,Tuesday,20,1,0,0,1,0,0,1,41.786,-87.752
1,2007-05-16,55.0,43,48.0,10.0,0.0,0.14,29.33,36,12.2,63.83838142829992,2007,5,2,Wednesday,20,1,0,0,0,0,0,1,41.995,-87.933
2,2007-05-16,55.0,42,47.0,10.0,0.0,0.07,29.39,36,11.8,61.426481210014636,2007,5,2,Wednesday,20,1,0,0,0,0,0,1,41.786,-87.752
1,2007-05-17,53.0,32,43.0,12.0,0.0,0.0,29.55,3,11.3,44.51919768338992,2007,5,3,Thursday,20,0,0,0,0,0,0,0,41.995,-87.933
2,2007-05-17,53.0,32,43.0,12.0,0.0,0.0,29.62,1,12.2,44.51919768338992,2007,5,3,Thursday,20,0,0,0,0,0,0,0,41.786,-87.752
1,2007-05-18,57.0,30,46.0,8.0,0.0,0.0,29.53,25,7.5,35.48321324070164,2007,5,4,Friday,20,0,0,0,0,0,0,0,41.995,-87.933
2,2007-05-18,57.0,31,47.0,8.0,0.0,0.0,29.6,22,5.5,36.95775537761825,2007,5,4,Friday,20,0,0,0,0,0,0,0,41.786,-87.752
1,2007-05-19,68.0,39,53.0,0.0,3.0,0.0,29.34,24,11.4,34.51053270342544,2007,5,5,Saturday,20,0,0,0,0,0,0,0,41.995,-87.933
2,2007-05-19,68.0,37,53.0,0.0,3.0,0.0,29.41,23,11.4,31.900711072840476,2007,5,5,Saturday,20,0,0,0,0,0,0,0,41.786,-87.752
1,2007-05-20,56.0,40,44.0,9.0,0.0,0.07,29.38,4,10.7,54.81474901112067,2007,5,6,Sunday,20,0,0,0,0,1,0,1,41.995,-87.933
2,2007-05-20,57.0,41,45.0,8.0,0.0,0.11,29.44,3,9.7,54.96323095790747,2007,5,6,Sunday,20,0,0,0,1,0,0,1,41.786,-87.752
1,2007-05-21,62.0,50,56.0,3.0,0.0,0.0,29.33,11,8.2,64.72689854390971,2007,5,0,Monday,21,0,0,0,0,0,0,0,41.995,-87.933
2,2007-05-21,63.0,50,57.0,2.0,0.0,0.0,29.39,10,7.8,62.48684243744914,2007,5,0,Monday,21,0,0,0,0,0,0,0,41.786,-87.752
1,2007-05-22,71.0,46,58.0,0.0,6.0,0.0,29.34,18,10.2,40.787378240978704,2007,5,1,Tuesday,21,0,0,0,0,0,0,0,41.995,-87.933
2,2007-05-22,74.0,44,58.0,0.0,9.0,0.0,29.41,16,10.6,34.158962387560464,2007,5,1,Tuesday,21,0,0,0,0,0,0,0,41.786,-87.752
1,2007-05-23,75.0,49,61.0,0.0,10.0,0.0,29.39,19,11.8,39.91220867430627,2007,5,2,Wednesday,21,0,0,0,0,0,0,0,41.995,-87.933
2,2007-05-23,78.0,48,61.0,0.0,13.0,0.0,29.47,18,11.2,34.80356347102333,2007,5,2,Wednesday,21,0,0,0,0,0,0,0,41.786,-87.752
1,2007-05-24,76.0,54,63.0,0.0,11.0,0.02,29.41,21,17.3,46.44511064999271,2007,5,3,Thursday,21,0,0,0,0,0,1,1,41.995,-87.933
2,2007-05-24,77.0,53,63.0,0.0,12.0,0.005,29.47,20,15.2,43.3134047818143,2007,5,3,Thursday,21,0,0,0,0,0,1,1,41.786,-87.752
1,2007-05-25,63.0,44,53.0,2.0,0.0,0.005,29.51,5,8.8,49.82636859761616,2007,5,4,Friday,21,0,0,0,0,0,0,0,41.995,-87.933
2,2007-05-25,62.0,46,53.0,3.0,0.0,0.09,29.57,5,8.2,55.69665330350363,2007,5,4,Friday,21,1,0,0,0,0,0,1,41.786,-87.752
1,2007-05-26,57.0,55,56.0,8.0,0.0,1.01,29.36,17,7.2,93.0078376511198,2007,5,5,Saturday,21,1,0,0,1,0,1,1,41.995,-87.933
2,2007-05-26,60.0,55,57.0,5.0,0.0,0.28,29.42,15,7.8,83.5252179928412,2007,5,5,Saturday,21,1,0,0,1,0,0,1,41.786,-87.752
1,2007-05-27,66.0,47,56.0,0.0,1.0,0.04,29.34,26,9.5,50.28829251142169,2007,5,6,Sunday,21,1,0,0,0,0,0,1,41.995,-87.933
2,2007-05-27,67.0,49,57.0,0.0,2.0,0.08,29.41,24,9.2,52.36751310271623,2007,5,6,Sunday,21,1,0,0,0,0,0,1,41.786,-87.752
1,2007-05-28,65.0,47,56.0,0.0,0.0,0.005,29.43,10,5.3,52.067235312683415,2007,5,0,Monday,22,0,0,0,0,0,0,1,41.995,-87.933
2,2007-05-28,65.0,49,57.0,0.0,0.0,0.0,29.49,8,5.2,56.12958979830987,2007,5,0,Monday,22,0,0,0,0,0,0,0,41.786,-87.752
1,2007-05-29,74.0,58,65.0,0.0,9.0,0.0,29.39,18,6.5,57.39700368536154,2007,5,1,Tuesday,22,1,0,0,0,0,1,0,41.995,-87.933
2,2007-05-29,77.0,59,66.0,0.0,12.0,0.0,29.44,16,7.4,53.83533177471956,2007,5,1,Tuesday,22,1,0,0,0,0,1,0,41.786,-87.752
1,2007-05-30,77.0,58,65.0,0.0,12.0,0.0,29.31,19,10.6,51.93979548309853,2007,5,2,Wednesday,22,0,0,0,0,0,1,0,41.995,-87.933
2,2007-05-30,80.0,57,66.0,0.0,15.0,0.0,29.38,17,10.1,45.396580462224144,2007,5,2,Wednesday,22,0,0,0,0,0,1,0,41.786,-87.752
1,2007-05-31,72.0,61,65.0,0.0,7.0,0.01,29.28,19,9.9,68.33159011825259,2007,5,3,Thursday,22,0,0,0,0,0,1,1,41.995,-87.933
2,2007-05-31,74.0,61,66.0,0.0,9.0,0.53,29.34,18,9.2,63.88309212570491,2007,5,3,Thursday,22,1,0,0,0,0,0,1,41.786,-87.752
1,2007-06-01,74.0,63,66.0,0.0,9.0,0.19,29.19,17,6.4,68.55599424356751,2007,6,4,Friday,22,1,0,0,1,0,1,0,41.995,-87.933
2,2007-06-01,77.0,63,67.0,0.0,12.0,0.21,29.25,16,5.8,62.03780844851864,2007,6,4,Friday,22,1,0,0,1,0,1,0,41.786,-87.752
1,2007-06-02,73.0,63,67.0,0.0,8.0,0.04,29.03,22,7.4,70.89767730577105,2007,6,5,Saturday,22,1,0,0,0,0,0,1,41.995,-87.933
2,2007-06-02,75.0,62,67.0,0.0,10.0,0.005,29.1,21,8.2,64.00659047844995,2007,6,5,Saturday,22,1,0,0,0,0,0,1,41.786,-87.752
1,2007-06-03,70.0,60,63.0,0.0,5.0,0.01,28.82,25,6.7,70.5793642415788,2007,6,6,Sunday,22,1,0,0,1,0,1,1,41.995,-87.933
2,2007-06-03,71.0,60,64.0,0.0,6.0,0.32,28.87,24,7.2,68.21856936518816,2007,6,6,Sunday,22,1,0,0,0,1,1,1,41.786,-87.752
1,2007-06-04,65.0,58,60.0,0.0,0.0,0.39,28.82,31,9.7,78.06400101943115,2007,6,0,Monday,23,1,0,0,1,0,0,1,41.995,-87.933
2,2007-06-04,64.0,57,60.0,1.0,0.0,0.31,28.88,30,10.1,77.97909324527996,2007,6,0,Monday,23,1,0,0,0,0,0,1,41.786,-87.752
1,2007-06-05,56.0,48,51.0,9.0,0.0,0.42,29.1,5,7.6,74.43986132324522,2007,6,1,Tuesday,23,1,0,0,0,0,0,1,41.995,-87.933
2,2007-06-05,57.0,47,52.0,8.0,0.0,0.27,29.16,3,8.1,69.14324057908972,2007,6,1,Tuesday,23,1,0,0,0,0,0,1,41.786,-87.752
1,2007-06-06,58.0,48,55.0,7.0,0.0,0.01,29.07,17,11.4,69.2570837547308,2007,6,2,Wednesday,23,0,0,0,0,0,0,1,41.995,-87.933
2,2007-06-06,61.0,47,55.0,4.0,0.0,0.005,29.13,15,10.6,59.92623648553908,2007,6,2,Wednesday,23,0,0,0,0,0,0,1,41.786,-87.752
